seller_id,application_date,country,days_to_complete_company_details,days_to_complete_logistics,days_to_upload_license,days_to_sign_agreement,total_onboarding_days,followup_count,days_since_last_followup,reached_activation,churned,days_since_application,steps_completed,avg_days_per_step,followup_effectiveness,is_slow_onboarding,is_neglected,country_encoded
S0001,2023-09-10,UAE,44,33,72,21,184,9,53,0,1,478,4,46.0,0.04864864864864865,1,1,1
S0002,2024-04-13,Saudi Arabia,19,28,65,17,62,8,60,1,0,262,4,15.5,0.12698412698412698,0,1,0
S0003,2024-04-16,UAE,48,41,87,22,171,0,84,0,1,259,4,42.75,0.0,1,1,1
S0004,2024-01-27,Saudi Arabia,24,16,1,18,70,6,73,0,0,339,4,17.5,0.08450704225352113,0,1,0
S0005,2023-05-23,UAE,11,20,2,4,75,9,9,1,0,588,4,18.75,0.11842105263157894,0,0,1
S0006,2024-02-14,UAE,21,40,72,20,148,6,35,1,1,321,4,37.0,0.040268456375838924,1,1,1
S0007,2023-12-24,Saudi Arabia,46,33,69,7,157,3,54,0,0,373,4,39.25,0.0189873417721519,1,1,0
S0008,2023-09-02,Saudi Arabia,28,41,21,4,47,3,60,1,0,486,4,11.75,0.0625,0,1,0
S0009,2024-08-13,Saudi Arabia,5,14,68,16,49,7,26,1,0,140,4,12.25,0.14,0,0,0
S0010,2022-08-21,Saudi Arabia,47,30,41,13,127,1,16,0,1,863,4,31.75,0.0078125,1,0,0
S0011,2024-06-26,UAE,51,26,22,1,77,2,64,1,0,188,4,19.25,0.02564102564102564,0,1,1
S0012,2022-06-22,UAE,26,16,40,8,169,3,94,1,1,923,4,42.25,0.01764705882352941,1,1,1
S0013,2024-01-03,UAE,12,7,1,6,98,7,67,0,0,363,4,24.5,0.0707070707070707,1,1,1
S0014,2024-12-05,Saudi Arabia,50,33,30,10,108,8,70,0,0,26,4,27.0,0.07339449541284404,1,1,0
S0015,2024-10-31,UAE,57,40,58,15,150,6,70,0,1,61,4,37.5,0.039735099337748346,1,1,1
S0016,2024-09-22,UAE,50,26,48,25,175,4,27,1,0,100,4,43.75,0.022727272727272728,1,0,1
S0017,2023-01-12,Saudi Arabia,27,42,73,13,135,6,70,0,1,719,4,33.75,0.04411764705882353,1,1,0
S0018,2024-09-06,Saudi Arabia,42,4,69,22,49,4,22,1,0,116,4,12.25,0.08,0,0,0
S0019,2024-05-07,UAE,50,37,79,10,159,0,92,1,1,238,4,39.75,0.0,1,1,1
S0020,2023-02-20,Saudi Arabia,38,11,24,16,58,13,88,0,0,680,4,14.5,0.22033898305084745,0,1,0
S0021,2023-10-08,UAE,46,10,68,15,185,7,116,1,1,450,4,46.25,0.03763440860215054,1,1,1
S0022,2022-09-28,Saudi Arabia,14,14,55,6,97,14,50,1,1,825,4,24.25,0.14285714285714285,1,1,0
S0023,2023-04-13,UAE,11,30,77,26,52,3,12,1,0,628,4,13.0,0.05660377358490566,0,0,1
S0024,2023-09-16,Saudi Arabia,32,12,24,11,115,2,23,1,1,472,4,28.75,0.017241379310344827,1,0,0
S0025,2022-11-03,Saudi Arabia,11,26,77,24,49,2,10,0,0,789,4,12.25,0.04,0,0,0
S0026,2022-11-28,Saudi Arabia,18,33,24,3,96,14,51,1,1,764,4,24.0,0.14432989690721648,1,1,0
S0027,2022-07-17,UAE,27,13,54,20,101,12,16,0,1,898,4,25.25,0.11764705882352941,1,0,1
S0028,2024-12-18,UAE,54,14,26,10,74,5,36,1,0,13,4,18.5,0.06666666666666667,0,1,1
S0029,2024-09-25,Saudi Arabia,18,24,66,1,118,11,12,1,0,97,4,29.5,0.09243697478991597,1,0,0
S0030,2024-11-09,Saudi Arabia,18,20,60,18,150,7,114,0,1,52,4,37.5,0.046357615894039736,1,1,0
S0031,2023-03-19,UAE,11,26,65,11,97,3,83,0,0,653,4,24.25,0.030612244897959183,1,1,1
S0032,2022-08-24,Saudi Arabia,21,21,75,26,58,2,7,1,0,860,4,14.5,0.03389830508474576,0,0,0
S0033,2023-12-19,UAE,43,12,31,18,136,0,18,0,1,378,4,34.0,0.0,1,0,1
S0034,2023-08-19,Saudi Arabia,5,36,35,12,90,5,82,0,0,500,4,22.5,0.054945054945054944,0,1,0
S0035,2023-04-12,Saudi Arabia,23,40,43,14,68,11,69,0,1,629,4,17.0,0.15942028985507245,0,1,0
S0036,2022-10-22,Saudi Arabia,41,2,29,25,99,14,43,1,0,801,4,24.75,0.14,1,1,0
S0037,2024-02-23,Saudi Arabia,25,9,37,8,101,13,59,0,1,312,4,25.25,0.12745098039215685,1,1,0
S0038,2023-11-12,UAE,41,23,58,11,53,8,40,0,0,415,4,13.25,0.14814814814814814,0,1,1
S0039,2024-09-24,Saudi Arabia,27,29,51,5,161,0,70,0,0,98,4,40.25,0.0,1,1,0
S0040,2022-06-05,Saudi Arabia,10,13,39,7,99,7,85,1,0,940,4,24.75,0.07,1,1,0
S0041,2023-03-01,UAE,22,23,42,10,56,6,41,0,0,671,4,14.0,0.10526315789473684,0,1,1
S0042,2022-07-12,Saudi Arabia,58,41,64,21,135,5,21,1,1,903,4,33.75,0.03676470588235294,1,0,0
S0043,2023-02-13,Saudi Arabia,1,2,29,25,58,13,73,1,0,687,4,14.5,0.22033898305084745,0,1,0
S0044,2024-12-06,UAE,7,20,43,26,48,14,28,1,0,25,4,12.0,0.2857142857142857,0,0,1
S0045,2023-01-31,UAE,40,22,52,23,188,1,68,0,1,700,4,47.0,0.005291005291005291,1,1,1
S0046,2023-01-09,Saudi Arabia,1,3,10,2,79,13,64,0,0,722,4,19.75,0.1625,0,1,0
S0047,2024-10-17,UAE,23,31,28,11,171,9,69,0,1,75,4,42.75,0.05232558139534884,1,1,1
S0048,2023-11-29,UAE,19,29,81,5,156,4,83,0,1,398,4,39.0,0.025477707006369428,1,1,1
S0049,2023-06-20,Saudi Arabia,46,36,76,5,170,2,58,0,1,560,4,42.5,0.011695906432748537,1,1,0
S0050,2024-07-22,Saudi Arabia,22,36,47,14,35,10,52,1,0,162,4,8.75,0.2777777777777778,0,1,0
S0051,2023-10-29,UAE,22,14,42,26,70,10,18,1,0,429,4,17.5,0.14084507042253522,0,0,1
S0052,2024-09-02,UAE,50,16,32,16,77,3,52,1,0,120,4,19.25,0.038461538461538464,0,1,1
S0053,2022-12-24,Saudi Arabia,47,19,32,22,94,8,84,0,0,738,4,23.5,0.08421052631578947,1,1,0
S0054,2023-11-06,UAE,42,34,61,20,151,0,46,0,0,421,4,37.75,0.0,1,1,1
S0055,2022-04-30,UAE,29,6,32,10,56,5,45,0,1,976,4,14.0,0.08771929824561403,0,1,1
S0056,2022-05-07,Saudi Arabia,46,13,26,17,107,14,84,1,0,969,4,26.75,0.12962962962962962,1,1,0
S0057,2023-12-15,Saudi Arabia,14,36,1,14,129,14,52,0,0,382,4,32.25,0.1076923076923077,1,1,0
S0058,2022-04-17,Saudi Arabia,40,21,68,24,150,0,39,0,1,989,4,37.5,0.0,1,1,0
S0059,2022-11-14,UAE,20,18,2,4,61,12,44,1,0,778,4,15.25,0.1935483870967742,0,1,1
S0060,2024-07-05,Saudi Arabia,21,18,33,28,163,4,82,0,1,179,4,40.75,0.024390243902439025,1,1,0
S0061,2023-01-28,Saudi Arabia,48,30,71,2,131,4,18,0,0,703,4,32.75,0.030303030303030304,1,0,0
S0062,2022-05-31,UAE,33,40,52,7,99,12,70,1,1,945,4,24.75,0.12,1,1,1
S0063,2023-10-01,UAE,43,7,9,9,90,10,80,1,0,457,4,22.5,0.10989010989010989,0,1,1
S0064,2022-11-02,Saudi Arabia,15,32,22,19,64,10,64,0,0,790,4,16.0,0.15384615384615385,0,1,0
S0065,2023-12-02,UAE,12,19,34,16,78,8,36,0,0,395,4,19.5,0.10126582278481013,0,1,1
